Time	Participant	Block	Trial	Difficulty	Device	CompletionTime	Error	Practice
Thu Feb 15 10:46:18 CET 2018	0	0 	0 	Difficulty 	Device 	1289ms	0	Practice 
Thu Feb 15 10:46:21 CET 2018	0	0 	1 	Difficulty 	Device 	328ms	0	Practice 
Thu Feb 15 10:46:22 CET 2018	0	0 	2 	Difficulty 	Device 	659ms	0	Practice 
Thu Feb 15 10:46:32 CET 2018	0	1 	0 	Difficulty 	Device 	9149ms	0	Practice 
Thu Feb 15 10:46:35 CET 2018	0	1 	1 	Difficulty 	Device 	799ms	0	Practice 
Thu Feb 15 10:46:36 CET 2018	0	1 	2 	Difficulty 	Device 	802ms	0	Practice 
Thu Feb 15 10:46:38 CET 2018	0	1 	3 	Difficulty 	Device 	745ms	0	Practice 
Thu Feb 15 10:46:40 CET 2018	0	1 	4 	Difficulty 	Device 	1080ms	0	Practice 
Thu Feb 15 10:46:44 CET 2018	0	1 	5 	Difficulty 	Device 	2816ms	0	Practice 
Thu Feb 15 10:46:46 CET 2018	0	1 	6 	Difficulty 	Device 	1079ms	0	Practice 
Thu Feb 15 10:46:47 CET 2018	0	1 	7 	Difficulty 	Device 	863ms	0	Practice 
Thu Feb 15 10:46:49 CET 2018	0	1 	8 	Difficulty 	Device 	1136ms	0	Practice 
