Time	Participant	Block	Trial	ObjectCount	VVChange	CompletionTime	Error	Practice
Thu Feb 15 13:53:17 CET 2018	0	0 	0 	16 	VV1 	1492	0	Practice 
Thu Feb 15 13:53:20 CET 2018	0	0 	1 	16 	VV2 	1162	0	Practice 
Thu Feb 15 13:53:22 CET 2018	0	0 	2 	36 	VV2 	965	0	Practice 
Thu Feb 15 13:54:25 CET 2018	0	1 	0 	16 	VV1VV2 	60288	0	Practice 
Thu Feb 15 13:54:27 CET 2018	0	1 	1 	16 	VV2 	1213	0	Practice 
Thu Feb 15 13:54:29 CET 2018	0	1 	2 	16 	VV1 	733	0	Practice 
Thu Feb 15 13:54:30 CET 2018	0	1 	3 	16 	VV1 	663	0	Practice 
Thu Feb 15 13:54:32 CET 2018	0	1 	4 	16 	VV2 	885	0	Practice 
Thu Feb 15 13:54:44 CET 2018	0	1 	5 	16 	VV1VV2 	11021	0	Practice 
Thu Feb 15 13:55:38 CET 2018	0	1 	6 	16 	VV1VV2 	51853	0	Practice 
Thu Feb 15 13:55:41 CET 2018	0	1 	7 	16 	VV1 	1957	0	Practice 
