Time	Participant	Block	Trial	ObjectCount	VVChange	CompletionTime	Error	Practice
Thu Feb 15 12:05:40 CET 2018	3	1 	0 	16 	VV2 	1362	0	Practice 
Thu Feb 15 12:05:44 CET 2018	3	1 	1 	16 	VV2 	719	0	Practice 
Thu Feb 15 12:06:00 CET 2018	3	1 	2 	16 	VV1VV2 	5107	2	Practice 
Thu Feb 15 12:06:09 CET 2018	3	1 	3 	16 	VV1VV2 	6952	0	Practice 
Thu Feb 15 12:06:13 CET 2018	3	1 	4 	16 	VV2 	1552	0	Practice 
Thu Feb 15 12:06:21 CET 2018	3	1 	5 	16 	VV1VV2 	3456	0	Practice 
Thu Feb 15 12:06:24 CET 2018	3	1 	6 	16 	VV1 	1712	0	Practice 
Thu Feb 15 12:06:27 CET 2018	3	1 	7 	16 	VV2 	1800	0	Practice 
Thu Feb 15 12:06:30 CET 2018	3	1 	8 	16 	VV1 	752	0	Practice 
Thu Feb 15 12:06:32 CET 2018	3	1 	9 	16 	VV1 	744	0	Practice 
Thu Feb 15 12:06:35 CET 2018	3	1 	10 	16 	VV1 	720	0	Practice 
Thu Feb 15 12:06:44 CET 2018	3	1 	11 	16 	VV1VV2 	3934	1	Practice 
Thu Feb 15 12:06:48 CET 2018	3	1 	12 	16 	VV2 	1224	0	Practice 
Thu Feb 15 12:06:52 CET 2018	3	1 	13 	16 	VV1VV2 	2256	0	Practice 
Thu Feb 15 12:06:55 CET 2018	3	1 	14 	16 	VV1 	752	0	Practice 
Thu Feb 15 12:06:57 CET 2018	3	2 	0 	36 	VV2 	720	0	Practice 
Thu Feb 15 12:06:59 CET 2018	3	2 	1 	36 	VV2 	632	0	Practice 
Thu Feb 15 12:07:02 CET 2018	3	2 	2 	36 	VV2 	816	0	Practice 
Thu Feb 15 12:07:04 CET 2018	3	2 	3 	36 	VV2 	760	0	Practice 
Thu Feb 15 12:07:07 CET 2018	3	2 	4 	36 	VV1 	744	0	Practice 
Thu Feb 15 12:07:09 CET 2018	3	2 	5 	36 	VV2 	616	0	Practice 
Thu Feb 15 12:07:11 CET 2018	3	2 	6 	36 	VV1 	543	0	Practice 
Thu Feb 15 12:07:19 CET 2018	3	2 	7 	36 	VV1VV2 	2219	1	Practice 
Thu Feb 15 12:07:25 CET 2018	3	2 	8 	36 	VV1VV2 	4053	0	Practice 
Thu Feb 15 12:07:33 CET 2018	3	2 	9 	36 	VV1VV2 	6282	0	Practice 
Thu Feb 15 12:07:36 CET 2018	3	2 	10 	36 	VV1 	872	0	Practice 
Thu Feb 15 12:07:38 CET 2018	3	2 	11 	36 	VV1 	584	0	Practice 
Thu Feb 15 12:07:42 CET 2018	3	2 	12 	36 	VV1VV2 	2560	0	Practice 
Thu Feb 15 12:07:44 CET 2018	3	2 	13 	36 	VV1 	592	0	Practice 
Thu Feb 15 12:07:47 CET 2018	3	2 	14 	36 	VV1VV2 	1704	0	Practice 
Thu Feb 15 12:07:49 CET 2018	3	3 	0 	9 	VV1 	552	0	Practice 
Thu Feb 15 12:07:51 CET 2018	3	3 	1 	9 	VV1 	584	0	Practice 
Thu Feb 15 12:07:53 CET 2018	3	3 	2 	9 	VV2 	648	0	Practice 
Thu Feb 15 12:07:57 CET 2018	3	3 	3 	9 	VV1VV2 	2256	0	Practice 
Thu Feb 15 12:07:59 CET 2018	3	3 	4 	9 	VV1 	584	0	Practice 
Thu Feb 15 12:08:04 CET 2018	3	3 	5 	9 	VV1VV2 	4191	0	Practice 
Thu Feb 15 12:08:07 CET 2018	3	3 	6 	9 	VV2 	672	0	Practice 
Thu Feb 15 12:08:11 CET 2018	3	3 	7 	9 	VV1VV2 	2672	0	Practice 
Thu Feb 15 12:08:23 CET 2018	3	3 	8 	9 	VV1VV2 	6004	1	Practice 
Thu Feb 15 12:08:25 CET 2018	3	3 	9 	9 	VV2 	1231	0	Practice 
Thu Feb 15 12:08:28 CET 2018	3	3 	10 	9 	VV2 	1656	0	Practice 
Thu Feb 15 12:08:31 CET 2018	3	3 	11 	9 	VV1 	568	0	Practice 
Thu Feb 15 12:08:33 CET 2018	3	3 	12 	9 	VV1 	656	0	Practice 
Thu Feb 15 12:08:35 CET 2018	3	3 	13 	9 	VV2 	744	0	Practice 
Thu Feb 15 12:08:52 CET 2018	3	3 	14 	9 	VV1VV2 	7722	2	Practice 
